date,Days Type,Daily,Weekly,Monthly,FIrstDayofmonth,LastDayoftheMonth,WeekNum,WeekName
9/11/2018,Calendar days,1,2,11,9/1/2018,8/31/2018,37,Tuesday
9/12/2018,Calendar days,1,3,12,9/1/2018,8/31/2018,37,Wednesday
9/13/2018,Calendar days,1,4,13,9/1/2018,8/31/2018,37,Thursday
9/14/2018,Calendar days,1,5,14,9/1/2018,8/31/2018,37,Friday
9/15/2018,Calendar days,1,6,15,9/1/2018,8/31/2018,37,Saturday
9/16/2018,Calendar days,1,7,16,9/1/2018,8/31/2018,38,Sunday
9/17/2018,Calendar days,1,1,17,9/1/2018,8/31/2018,38,Monday
9/18/2018,Calendar days,1,2,18,9/1/2018,8/31/2018,38,Tuesday
9/19/2018,Calendar days,1,3,19,9/1/2018,8/31/2018,38,Wednesday
9/20/2018,Calendar days,1,4,20,9/1/2018,8/31/2018,38,Thursday
9/21/2018,Calendar days,1,5,21,9/1/2018,8/31/2018,38,Friday
9/22/2018,Calendar days,1,6,22,9/1/2018,8/31/2018,38,Saturday
9/23/2018,Calendar days,1,7,23,9/1/2018,8/31/2018,39,Sunday
9/24/2018,Calendar days,1,1,24,9/1/2018,8/31/2018,39,Monday
9/25/2018,Calendar days,1,2,25,9/1/2018,8/31/2018,39,Tuesday
9/26/2018,Calendar days,1,3,26,9/1/2018,8/31/2018,39,Wednesday
9/27/2018,Calendar days,1,4,27,9/1/2018,8/31/2018,39,Thursday
9/28/2018,Calendar days,1,5,28,9/1/2018,8/31/2018,39,Friday
9/29/2018,Calendar days,1,6,29,9/1/2018,8/31/2018,39,Saturday
9/30/2018,Calendar days,1,7,30,9/1/2018,8/31/2018,40,Sunday
10/1/2018,Calendar days,1,1,1,10/1/2018,9/30/2018,40,Monday
10/2/2018,Calendar days,1,2,2,10/1/2018,9/30/2018,40,Tuesday
10/3/2018,Calendar days,1,3,3,10/1/2018,9/30/2018,40,Wednesday
10/4/2018,Calendar days,1,4,4,10/1/2018,9/30/2018,40,Thursday
10/5/2018,Calendar days,1,5,5,10/1/2018,9/30/2018,40,Friday
10/6/2018,Calendar days,1,6,6,10/1/2018,9/30/2018,40,Saturday
10/7/2018,Calendar days,1,7,7,10/1/2018,9/30/2018,41,Sunday
10/8/2018,Calendar days,1,1,8,10/1/2018,9/30/2018,41,Monday
10/9/2018,Calendar days,1,2,9,10/1/2018,9/30/2018,41,Tuesday
10/10/2018,Calendar days,1,3,10,10/1/2018,9/30/2018,41,Wednesday
